Complete Game Pass Master List by u/ABattleVet,512,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre (Giantbomb),Xbox Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes
Descenders,Xbox / PC,Yes,Active,May 2019,,54.05,Feb 2018,1.24,77,4,Sports / Driving/Racing,Optimized,Game Pass Core launch title (9/14/23),E,,
Wolfenstein II: The New Colossus,Xbox / PC,Yes,Active,May 2019,,54.21,Oct 2017,1.51,88,11,First-Person Shooter,,,M,"Blood and Gore, Sexual Content, Partial Nudity, Use of Drugs, Strong Language, Intense Violence",
The Walking Dead: A New Frontier,Xbox / PC,Touch Controls,Active,Apr 2019,,54.67,Dec 2016,2.33,73,8,Adventure,,Joined PC 11/1/22,M,"Violence, Blood, Use of Drugs, Strong Language",
Prey,Xbox / PC,Yes,Active,Apr 2019,,54.90,May 2017,1.93,83,16,First-Person Shooter / Action-Adventure,FPS Boost,,M,"Use of Alcohol, Blood, Violence, Language",
Minecraft,Xbox / PC,,Active,Apr 2019,,55.13,Nov 2011,7.38,88,116,Action-Adventure,,Joined PC 11/2/21 (Java and Bedrock Editions),E10+,Fantasy Violence,Crossplay
The Walking Dead: Michonne,Xbox / PC,Touch Controls,Active,Mar 2019,,55.36,Feb 2016,3.09,64,4,Adventure,,Joined PC 11/1/22,M,"Intense Violence, Blood, Use of Drugs, Language",
Fallout 4,Xbox / PC,Yes,Active,Mar 2019,,55.82,Nov 2015,3.34,88,27,Role-Playing / Shooter,FPS Boost,"Game Pass Core launch title (9/14/23), Official PC Mod Support",M,"Blood and Gore, Use of Drugs, Strong Language, Intense Violence",
The Walking Dead: Season Two,Xbox / PC,Touch Controls,Active,Feb 2019,,56.28,Dec 2013,5.20,83,10,Adventure,,Joined PC 10/6/22,M,"Blood and Gore, Intense Violence, Strong Language",
Crackdown 3,Xbox / PC,Yes,Active,Feb 2019,,56.71,Feb 2019,0.00,60,7,Action-Adventure,,,M,"Blood, Sexual Themes, Drug Reference, Strong Language, Violence",
The Walking Dead: The Complete First Season,Xbox / PC,Touch Controls,Active,Feb 2019,,56.98,Dec 2017,1.18,89,13,Light-Gun Shooter,,Joined PC 10/6/22,M,"Blood and Gore, Sexual Themes, Drug Reference, Strong Language, Intense Violence",
ARK: Ultimate Survivor Edition ,Xbox / PC,Yes,Active,Jan 2019,,58.13,Dec 2016,2.08,69,123,Action-Adventure,Optimized,"New edition joins 2/14/22, Previously ARK: Survival Evolved - Explorer's Edition",T,"Use of Alcohol, Crude Humor, Blood, Violence",
Ori and the Blind Forest: Definitive Edition,Xbox / PC,Yes,Active,Dec 2018,,58.59,Mar 2015,3.78,88,9,Puzzle / Platformer / Action-Adventure,,,E,Mild Fantasy Violence,
Hellblade: Senua's Sacrifice,Xbox / PC,Touch Controls,Active,Dec 2018,,58.68,Aug 2017,1.36,88,8,Action / Action-Adventure,Optimized,Game Pass Core launch title (9/14/23),M,"Blood and Gore, Strong Language, Intense Violence",
Forza Horizon 4,Xbox / PC,Yes,Active,Oct 2018,,61.18,Sep 2018,0.01,92,11,Driving/Racing,Optimized,Game Pass Core launch title (9/14/23),E,,
Wolfenstein: The New Order,Xbox / PC,Yes,Active,Oct 2018,,61.22,May 2014,4.37,80,12,First-Person Shooter,,,M,"Blood and Gore, Strong Sexual Content, Use of Drugs, Strong Language, Intense Violence",
Halo: The Master Chief Collection,Xbox / PC,Yes,Active,Sep 2018,,62.20,Nov 2014,3.81,85,53,Compilation / First-Person Shooter,Optimized,,M,"Blood and Gore, Violence, Language",
Quantum Break,Xbox / PC,,Active,Sep 2018,,62.20,Apr 2016,2.41,77,10,Shooter,,"Joined 9/1/18, left 4/15/23 due to licensing issues, PC added when gaem returned",M,"Blood, Strong Language, Intense Violence",
DOOM (2016),Xbox,Yes,Active,Aug 2018,,62.93,May 2016,2.24,87,12,First-Person Shooter,,Game Pass Core launch title (9/14/23),M,"Blood and Gore, Strong Language, Intense Violence",
RAGE,Xbox,Yes,Active,Aug 2018,,63.22,Oct 2011,6.83,81,11,First-Person Shooter / Vehicular Combat,,,M,"Blood and Gore, Intense Violence, Strong Language",Xbox 360
Rush: A Disney Pixar Adventure,Xbox / PC,Yes,Active,Aug 2018,,63.22,Mar 2012,6.37,68,3,Minigame Collection / Platformer,,,E10+,Cartoon Violence,
Ryse: Son of Rome,Xbox,,Active,Aug 2018,,63.22,Nov 2013,4.69,60,7,Action / Brawler,,,M,"Blood and Gore, Sexual Content, Partial Nudity, Strong Language, Intense Violence",
Fallout 3: Game of the Year Edition,Xbox / PC,Yes,Active,Jul 2018,,64.24,Oct 2008,9.68,93,23,Role-Playing / First-Person Shooter,FPS Boost,"Official PC Mod Support, enhanced edition only on PC",M,"Blood and Gore, Intense Violence, Sexual Themes, Strong Language, Use of Drugs",Xbox 360
Human: Fall Flat,Xbox / PC,Yes,Active,Jul 2018,,64.24,Jul 2016,1.94,73,6,Puzzle,Optimized,Game Pass Core launch title (9/14/23),E,,
The Elder Scrolls IV: Oblivion,Xbox / PC,Yes,Active,Jul 2018,,64.24,Mar 2006,12.29,94,28,Action / Role-Playing,FPS Boost,Official PC Mod Support,M,"Use of Alcohol, Blood and Gore, Sexual Themes, Violence, Language",Xbox 360
The Elder Scrolls Online,Xbox,,Active,Jun 2018,,64.93,Apr 2014,4.19,77,87,MMORPG,,"Game Pass Core launch title (9/14/23), Temporarily removed from cloud 2/22/22 due to disconnect issues, reinstated 12/20/22",M,"Use of Alcohol, Blood and Gore, Sexual Themes, Violence",Game was temporarily removed from xCloud (Xbox Cloud Gaming) due to player disconnect issues https://www.trueachievements.com/n48641/the-elder-scrolls-online-removed-from-xbox-cloud-gaming
Disneyland Adventures,Xbox / PC,Yes,Active,Jun 2018,,65.23,Nov 2011,6.55,67,16,Adventure / Minigame Collection,,,E10+,,
Wasteland 2: Director's Cut,Xbox / PC,Touch Controls,Active,Jun 2018,,65.23,Sep 2014,3.70,77,40,Role-Playing,,,M,"Blood and Gore, Sexual Content, Drug Reference, Strong Language, Violence",
State of Decay 2: Juggernaut Edition,Xbox / PC,Yes,Active,May 2018,,65.56,May 2018,0.01,78,37,Action-Adventure,Optimized,"Game Pass Core launch title (9/14/23), Official PC Mod Support",M,"Blood and Gore, Drug Reference, Strong Language, Intense Violence",
Cities: Skylines - Remastered,Xbox / PC,Touch Controls,Active,Apr 2018,,67.23,Mar 2015,3.06,83,26,Simulation,,Remasted coming to Xbox Series X|S and cloud exclusively beginning 2/15/23. PC version is not remastered,E,,
theHunter: Call of the Wild,Xbox / PC,Yes,Active,Apr 2018,,67.23,Feb 2017,1.12,83,21,Simulation / First-Person Shooter,,Joined PC 12/1/2021,T,"Blood, Violence",
Sea of Thieves,Xbox / PC,Touch Controls,Active,Mar 2018,,67.63,Mar 2018,0.00,69,34,Action-Adventure,Optimized,,T,"Use of Alcohol, Crude Humor, Violence",
Super Lucky's Tale,Xbox / PC,,Active,Mar 2018,,68.25,Nov 2017,0.31,64,6,Platformer,FPS Boost,,E,Mild Cartoon Violence,
Fable Anniversary,Xbox,Touch Controls,Active,Feb 2018,,69.17,Feb 2014,3.99,68,14,Role-Playing / Action-Adventure,,Game Pass Core launch title (9/14/23),M,"Blood and Gore, Language, Use of Alcohol, Violence, Sexual Content",Xbox 360
Halo Wars 2,Xbox / PC,Touch Controls,Active,Feb 2018,,69.17,Feb 2017,0.96,79,8,Real-Time Strategy,FPS Boost,Game Pass Core launch title (9/14/23),T,"Mild Blood, Mild Language, Violence",
Zoo Tycoon: Ultimate Animal Collection,Xbox / PC,,Active,Jan 2018,,70.19,Oct 2017,0.17,68,14,Simulation,,,E,,
Gears of War 4,Xbox / PC,Yes,Active,Dec 2017,,71.21,Oct 2016,1.15,84,9,Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",
Mass Effect,Xbox / PC,,Active,Dec 2017,,71.21,Nov 2007,10.04,90,17,Role-Playing / Shooter,,,M,"Blood, Sexual Themes, Partial Nudity, Violence, Language",Xbox 360
Halo Wars: Definitive Edition,Xbox / PC,Touch Controls,Active,Nov 2017,,72.20,Feb 2009,8.68,81,9,Action / Role-Playing,,,T,"Violence, Mild Blood, Mild Language","Xbox 360, PC"
Costume Quest 2,Xbox,,Active,Oct 2017,,73.22,Oct 2014,2.99,65,7,Role-Playing,,,E10+,Fantasy Violence,
State of Decay: Year One Survival Edition,Xbox,,Active,Oct 2017,,73.22,Apr 2015,2.43,72,18,Strategy / Shooter / Action-Adventure,,,M,"Blood and Gore, Drug Reference, Strong Language, Intense Violence",
Fable II,Xbox,Touch Controls,Active,Sep 2017,,74.20,Oct 2008,8.87,89,13,Adventure,,,M,"Use of Alcohol, Blood, Sexual Themes, Violence, Language",Xbox 360
ReCore: Definitive Edition,Xbox / PC,Yes,Active,Aug 2017,,74.30,Sep 2016,0.96,61,12,Adventure,FPS Boost,,T,Violence,
Banjo-Kazooie,Xbox,Touch Controls,Active,Jun 2017,,77.23,Jun 1998,18.94,77,11,Adventure,,,E,Violence,Nintendo 64
Banjo-Kazooie: Nuts & Bolts,Xbox,Yes,Active,Jun 2017,,77.23,Nov 2008,8.56,79,16,Adventure,,,E10+,"Crude Humor, Cartoon Violence",Xbox 360
Banjo-Tooie,Xbox,Touch Controls,Active,Jun 2017,,77.23,Nov 2000,16.54,73,16,Adventure,,,E,,Nintendo 64
Fable III,Xbox,Touch Controls,Active,Jun 2017,,77.23,Oct 2010,6.60,80,13,Adventure,FPS Boost,,M,"Use of Alcohol, Blood, Sexual Content, Violence, Language",Xbox 360
Fuzion Frenzy,Xbox,Touch Controls,Active,Jun 2017,,77.23,Nov 2001,15.56,70,4,Minigame Collection,,,E,Violence,OG Xbox
Gears of War,Xbox,,Active,Jun 2017,,77.23,Nov 2006,10.57,94,9,Shooter,FPS Boost,,M,,Xbox 360
Gears of War 2,Xbox,Yes,Active,Jun 2017,,77.23,Nov 2008,8.57,93,10,Action / Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360
Gears of War 3,Xbox,Yes,Active,Jun 2017,,77.23,Sep 2011,5.70,91,10,Action / Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360
Gears of War: Judgment,Xbox,Yes,Active,Jun 2017,,77.23,Mar 2013,4.21,79,7,Action / Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",Xbox 360
Gears of War: Ultimate Edition,Xbox / PC,Yes,Active,Jun 2017,,77.23,Nov 2006,10.57,82,9,Shooter,FPS Boost,,M,"Blood and Gore, Strong Language, Intense Violence",
Halo 5: Guardians,Xbox,Yes,Active,Jun 2017,,77.23,Oct 2015,1.60,84,8,First-Person Shooter,,Game Pass Core launch title (9/14/23),T,"Blood, Mild Language, Violence",
Halo: Spartan Assault,Xbox / PC,Touch Controls,Active,Jun 2017,,77.23,Jul 2013,3.87,53,4,Dual-Joystick Shooter,FPS Boost,,T,"Blood, Violence",
Jetpac Refuelled,Xbox,Touch Controls,Active,Jun 2017,,77.23,Mar 2007,10.19,73,5,Action / Shooter,,,E,Mild Fantasy Violence,Xbox 360
Joy Ride Turbo,Xbox,Touch Controls,Active,Jun 2017,,77.23,May 2012,5.03,67,2,Driving/Racing,,,E,Mild Fantasy Violence,Xbox 360
Kameo: Elements of Power,Xbox,Yes,Active,Jun 2017,,77.23,Nov 2005,11.55,79,10,Action-Adventure,FPS Boost,,T,Violence,Xbox 360
Max: The Curse of Brotherhood,Xbox,,Active,Jun 2017,,77.23,Dec 2013,3.45,72,6,Puzzle / Platformer,,,E10+,"Fantasy Violence, Mild Language",
Payday 2: Crimewave Edition,Xbox,,Active,Jun 2017,,77.23,Aug 2013,3.80,65,25,First-Person Shooter,,Game Pass Core launch title (9/14/23),M,"Blood and Gore, Suggestive Themes, Drug Reference, Strong Language, Intense Violence",
Perfect Dark Zero,Xbox,Yes,Active,Jun 2017,,77.23,Jun 2006,10.99,81,8,First-Person Shooter,,,M,"Blood, Violence, Language",Xbox 360
ScreamRide,Xbox,,Active,Jun 2017,,77.23,Mar 2015,2.25,71,6,Action,,,E10+,Mild Violence,
Sunset Overdrive,Xbox / PC,,Active,Jun 2017,,77.23,Oct 2014,2.59,81,10,Shooter / Platformer / Action-Adventure,,,M,"Blood and Gore, Sexual Themes, Drug Reference, Strong Language, Violence",
Terraria,Xbox,Yes,Active,Jun 2017,,77.23,May 2011,6.05,84,94,Platformer / Action-Adventure,,,T,"Use of Alcohol, Blood and Gore, Mild Suggestive Themes, Cartoon Violence",
Viva Piñata,Xbox,Touch Controls,Active,Jun 2017,,77.23,Nov 2006,10.57,84,19,Strategy / Simulation,,,E,"Crude Humor, Mild Cartoon Violence",Xbox 360
Viva Piñata: Trouble in Paradise,Xbox,Touch Controls,Active,Jun 2017,,77.23,Sep 2008,8.75,82,27,Strategy / Simulation,,,E,"Crude Humor, Mild Cartoon Violence",Xbox 360
Gungrave G.O.R.E,Xbox / PC,Yes,Leaving Soon,Nov 2022,Nov 2023,11.77,Nov 2022,0.00,56,13,Action,,,M,"Blood and Gore, Drug Reference, Strong Language, Intense Violence",
Lapin (Game Preview),Xbox / PC,Yes,Leaving Soon,Nov 2022,Nov 2023,11.93,Nov 2022,0.00,,6,Platformer,,,E,,
Football Manager 2023,Xbox / PC,Touch Controls,Leaving Soon,Nov 2022,Nov 2023,12.23,Nov 2022,0.00,81,43,Sports / Simulation / Soccer,,,E,,
Ghost Song,Xbox / PC,Touch Controls,Leaving Soon,Nov 2022,Nov 2023,12.39,Nov 2022,0.00,86,8,Platformer / Action-Adventure,,,T,"Violence, Blood, Partial Nudity",
Exapunks,PC,,Leaving Soon,Aug 2022,Nov 2023,14.70,Oct 2018,3.84,80,27,Simulation,,,M,Strong Language,
Coffee Talk,Xbox / PC,Touch Controls,Leaving Soon,Aug 2022,Nov 2023,14.99,Jan 2020,2.55,75,4,Adventure,,,T,"Sexual Themes, Use of Tobacco, Language",
Townscaper,Xbox / PC,Touch Controls,Leaving Soon,Dec 2021,Nov 2023,23.44,Jun 2020,1.42,86,3,Simulation,,,E,,Native touch controls
Gunfire Reborn,Xbox / PC,Yes,Removed,Oct 2022,Oct 2023,12.13,Nov 2021,0.94,77,3,First-Person Shooter / Action-Adventure,Exclusive,,T,Violence,
Signalis,Xbox / PC,Yes,Removed,Oct 2022,Oct 2023,12.13,Oct 2022,0.00,81,9,Action-Adventure,,,M,"Blood, Violence",
Persona 5: Royal,Xbox / PC,Touch Controls,Removed,Oct 2022,Oct 2023,12.33,Oct 2019,2.98,94,103,Role-Playing,,,M,"Blood, Drug Reference, Partial Nudity, Sexual Themes, Strong Language, Violence",PS4 Metascore (No Metascore for Xbox version as it is an old game)
Kill It With Fire,Xbox / PC,Yes,Removed,Nov 2021,Oct 2023,23.87,Aug 2020,1.23,73,3,Action / Simulation,,,E10+,"Fantasy Violence, Mild Blood",
Solasta: Crown of the Magister,Xbox / PC,Yes,Removed,May 2021,Oct 2023,29.16,Oct 2020,0.60,78,40,Adventure / Role-Playing,,Joined console and cloud on 7/18/22,T,"Violence, Blood, Suggestive Themes, Use of Alcohol, Language",
The Legend of Tianding,Xbox / PC,Yes,Removed,Oct 2022,Oct 2023,11.47,Oct 2022,0.00,80,5,Action / Platformer,,,T,"Blood, Mild Language, Violence",
Eville,Xbox / PC,Yes,Removed,Oct 2022,Oct 2023,12.13,Oct 2022,0.00,71,8,,,,T,"Blood, Violence",
Shenzhen I/O,PC,,Removed,Aug 2022,Oct 2023,14.37,Oct 2016,5.83,88,25,Puzzle,,,T,"Drug Reference, Mild Language",
Overwhelm,PC,,Removed,Jul 2022,Oct 2023,15.06,Jul 2018,4.01,74,6,Action / Platformer,,,E10+,Fantasy Violence,
Trek to Yomi,Xbox / PC,Yes,Removed,May 2022,Oct 2023,17.36,May 2022,0.00,72,5,Action,,,M,"Blood and Gore, Violence",
Turnip Boy Commits Tax Evasion,Xbox / PC,Touch Controls,Removed,Apr 2022,Oct 2023,17.88,Apr 2021,0.99,72,2,Action / Adventure,,,E10+,"Crude Humor, Fantasy Violence, Mild Language",
Despot’s Game,Xbox / PC,Yes,Removed,Sep 2022,Sep 2023,12.03,Sep 2022,0.00,80,10,,,,T,"Violence, Blood, Language",
Moonscars,Xbox / PC,Yes,Removed,Sep 2022,Sep 2023,12.10,Sep 2022,0.00,76,9,Action-Adventure,,,T,"Violence, Blood, Partial Nudity",
Beacon Pines,Xbox / PC,Yes,Removed,Sep 2022,Sep 2023,12.26,Sep 2022,0.00,83,5,Adventure,,,T,Language,
Last Call BBS,PC,,Removed,Jul 2022,Sep 2023,14.86,Jul 2022,0.00,80,65,Compilation / Puzzle,,,T,,
Weird West: Definitive Edition,Xbox / PC,Yes,Removed,Mar 2022,Sep 2023,18.02,Mar 2022,0.00,80,21,Action / Role-Playing / Simulation,,Xbox Series X|S versions available 5/8/23,M,"Blood and Gore, Strong Language, Violence",
Prodeus,Xbox / PC,Yes,Removed,Jun 2021,Sep 2023,27.22,Nov 2020,0.62,86,6,First-Person Shooter,,Game left preview/launched 9/23/22,M,"Violence, Blood and Gore",Humble - Likely 2 years
Outriders,Xbox / PC,Yes,Removed,Apr 2021,Sep 2023,29.98,Apr 2021,0.00,78,15,Role-Playing / Action-Adventure,Optimized,Joined PC 10/19/21,M,"Blood and Gore, Suggestive Themes, Strong Language, Intense Violence",
Sid Meier's Civilization VI,Xbox / PC,Yes,Removed,Mar 2023,Sep 2023,6.02,Oct 2016,6.40,87,23,Strategy,,,E10+,"Drug Reference, Language, Mild Violence, Suggestive Themes",
Danganronpa V3: Killing Harmony,Xbox / PC,Touch Controls,Removed,Sep 2022,Sep 2023,12.00,Jan 2017,5.68,80,39,Adventure / Shooter / Music/Rhythm,,,M,"Blood, Drug Reference, Intense Violence, Partial Nudity, Sexual Themes, Strong Language",
Fuga: Melodies of Steel,Xbox / PC,Touch Controls,Removed,Sep 2022,Sep 2023,12.00,Jul 2021,1.13,87,20,Action / Strategy / Role-Playing,,,T,"Fantasy Violence, Mild Blood, Suggestive Themes, Language",
Metal: Hellsinger,Xbox / PC,Yes,Removed,Sep 2022,Sep 2023,12.00,Sep 2022,0.00,79,6,Music/Rhythm / First-Person Shooter,,Joined last gen Xbox One on 12/8/22,T,"Violence, Blood, Use of Tobacco",Seperate Xbox Gen8 (Xbox One) and Gen9 (Xbox Series X|S) versions (Not Smart Delivery enabled)
Amazing Cultivation Simulator,PC,,Removed,Sep 2022,Sep 2023,12.03,Jan 2019,3.68,73,100,Strategy / Simulation,,,E10+,"Fantasy Violence, Mild Blood, Crude Humor",
DC League of Super-Pets: The Adventures of Krypto and Ace,Xbox / PC,Touch Controls,Removed,Sep 2022,Sep 2023,12.07,Jul 2022,0.16,60,3,Flight Simulator / Shoot 'Em Up,,,E10+,Fantasy Violence,
Train Sim World 3,Xbox / PC,,Removed,Sep 2022,Sep 2023,12.30,Sep 2022,0.00,78,466,Simulation,,,E,,
Tainted Grail: Conquest,Xbox / PC,,Removed,Mar 2022,Sep 2023,17.82,Jun 2020,1.76,82,14,Role-Playing / Card Game,,,M,"Violence, Blood",
Aragami 2,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2023,23.93,Sep 2021,0.00,69,14,Action,,,M,"Blood, Violence",
Commandos 3: HD Remaster,Xbox / PC,Yes,Removed,Aug 2022,Aug 2023,12.03,Aug 2022,0.00,60,10,Real-Time Strategy,,,T,"Violence, Blood, Use of Alcohol And Tobacco","""Commandos 3: Destination Berlin"" metacritic score: 72"
Immortality,Xbox / PC,Yes,Removed,Aug 2022,Aug 2023,12.03,Aug 2022,0.00,91,5,Adventure / Simulation,Exclusive,,M,"Violence, Blood, Sexual Content, Nudity, Use of Drugs, Strong Language",
Tinykin,Xbox / PC,,Removed,Aug 2022,Aug 2023,12.03,Aug 2022,0.00,81,6,Adventure / Platformer,,,E10+,"Fantasy Violence, Mild Language, Comic Mischief",
Nuclear Throne,Xbox / PC,Yes,Removed,Sep 2021,Aug 2023,23.70,Dec 2015,5.77,89,16,Action / Shooter,,,E10+,"Fantasy Violence, Mild Blood, Mild Language",
Surgeon Simulator 2: Access All Areas,Xbox / PC,Yes,Removed,Sep 2021,Aug 2023,23.93,Aug 2020,1.02,69,4,Simulation,,,M,"Intense Violence, Blood and Gore",
Black Desert,Xbox,Yes,Removed,May 2019,Aug 2023,51.78,Mar 2016,3.18,75,72,MMORPG,,,T,"Use of Alcohol, Blood, Suggestive Themes, Mild Language, Violence",
DEATH STRANDING,PC,,Removed,Aug 2022,Aug 2023,11.74,Nov 2019,2.79,86,41,Action-Adventure,,,M,"Blood, Intense Violence, Partial Nudity, Strong Language",
Midnight Fight Express,Xbox / PC,Yes,Removed,Aug 2022,Aug 2023,11.74,Aug 2022,0.00,75,5,Action / Brawler,,,M,"Violence, Blood, Suggestive Themes, Strong Language",
Total War: Warhammer III,PC,,Removed,Feb 2022,Aug 2023,17.88,Feb 2022,0.00,88,29,Strategy,,,T,"Violence, Blood, Crude Humor",
Edge of Eternity,Xbox / PC,Touch Controls,Removed,Feb 2022,Aug 2023,18.12,Dec 2018,3.19,67,31,Role-Playing / Action-Adventure,,,T,"Language, Mild Blood, Mild Suggestive Themes, Partial Nudity, Violence",
Expeditions: Rome,PC,,Removed,Aug 2022,Jul 2023,11.64,Jan 2022,0.56,80,39,Strategy / Role-Playing,,,T,"Violence, Blood",
Two Point Campus,Xbox / PC,Touch Controls,Removed,Aug 2022,Jul 2023,11.70,Aug 2022,0.00,84,27,Simulation,,,T,"Crude Humor, Mild Suggestive Themes",
Dreamscaper,Xbox / PC,Touch Controls,Removed,Feb 2022,Jul 2023,17.85,Aug 2020,1.47,80,12,Role-Playing / Brawler / Action-Adventure,,,E10+,"Fantasy Violence, Alcohol Reference, Mild Language, Mild Suggestive Themes",
Marvel's Avengers,Xbox / PC,Yes,Removed,Sep 2021,Jul 2023,21.99,Sep 2020,1.07,67,12,Action / Role-Playing / Brawler,,,T,"Language, Mild Blood, Violence",
The Ascent,Xbox / PC,Touch Controls,Removed,Jul 2021,Jul 2023,24.07,Jul 2021,0.00,70,9,Action / Role-Playing,Optimized,,M,"Blood, Sexual Themes, Simulated Gambling, Strong Language, Violence",
PAW Patrol The Movie: Adventure City Calls,Xbox / PC,Touch Controls,Removed,Jul 2022,Jul 2023,12.03,Aug 2021,0.92,40,2,Action,,,E,,
Spelunky 2,Xbox / PC,Touch Controls,Removed,Jan 2022,Jul 2023,18.02,Sep 2020,1.33,89,28,Platformer / Action-Adventure,,,T,"Violence, Blood, Simulated Gambling",
Exo One,Xbox / PC,Touch Controls,Removed,Nov 2021,Jul 2023,19.86,Nov 2021,0.00,80,2,Adventure / Simulation / Puzzle,,,E,,
DJMax Respect V,Xbox / PC,Yes,Removed,Jul 2022,Jun 2023,11.77,Dec 2019,2.55,75,44,Music/Rhythm,,,T,"Violence, Suggestive Themes",
Matchpoint: Tennis Championships,Xbox / PC,Touch Controls,Removed,Jul 2022,Jun 2023,11.77,Jul 2022,0.00,60,11,Sports / Tennis,,,E,,
Road 96,Xbox / PC,Touch Controls,Removed,Jul 2022,Jun 2023,11.77,Aug 2021,0.89,79,8,Adventure,,,T,"Drug Reference, Language, Mild Blood, Suggestive Themes, Use of Alcohol and Tobacco, Violence",
OMORI,Xbox / PC,Yes,Removed,Jun 2022,Jun 2023,12.46,Dec 2020,1.47,87,21,Role-Playing,,,M,"Blood, Strong Language, Violence","Contains content which some viewers may find disturbing, viewer discretion advised (This game contains depictions of depression, anxiety, and suicide, and may not be suitable for all audiences. It also contains bright flashing imagery that may cause discomfort and/or seizures for those with photosensitive epilepsy. Viewer discretion is advised.)"
Olija,Xbox / PC,Yes,Removed,Jan 2022,Jun 2023,17.82,Jan 2021,0.93,78,5,Action-Adventure,,,T,"Blood, Fantasy Violence, Mild Language",
Empire of Sin,Xbox / PC,Touch Controls,Removed,Mar 2021,Jun 2023,27.42,Dec 2020,0.29,66,8,Strategy / Role-Playing,,,M,"Blood, Sexual Themes, Alcohol Reference, Strong Language, Violence",
Mortal Shell: Enhanced Edition,Xbox / PC,Yes,Removed,Jan 2023,Jun 2023,5.29,Aug 2020,2.38,76,10,Action / Role-Playing,,"Joined 11/23/21, left 11/30/22. Returning game",M,"Blood and Gore, Violence",
Total War: Three Kingdoms,PC,,Removed,Jun 2022,Jun 2023,11.80,May 2019,3.08,85,48,Strategy,,,T,Violence,
Chorus,Xbox / PC,Touch Controls,Removed,Jun 2022,Jun 2023,12.26,Dec 2021,0.51,78,15,Action,,,T,"Fantasy Violence, Mild Language",
Serious Sam 4,Xbox / PC,Yes,Removed,Dec 2021,Jun 2023,18.25,Sep 2020,1.20,68,10,First-Person Shooter,Exclusive,,M,"Intense Violence, Blood and Gore, Parital Nudity, Drug Reference, Language",
Maneater,Xbox / PC,Yes,Removed,May 2021,Jun 2023,24.69,May 2020,1.01,71,8,Action / Role-Playing,Optimized,,M,"Blood and Gore, Mild Language, Drug Reference, Intense Violence, Mature Humor",
