Complete Game Pass Master List by u/ABattleVet,512,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre (Giantbomb),Xbox Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes
SOMA,Xbox / PC,Touch Controls,Active,Oct 2022,,12.56,Sep 2015,7.08,83,9,Adventure,,,M,"Violence, Blood, Nudity, Strong Language",
A Plague Tale: Requiem,Xbox / PC,Yes,Active,Oct 2022,,12.62,Oct 2022,0.00,85,15,Action-Adventure,Exclusive,,M,"Intense Violence, Blood, Language",
Scorn,Xbox / PC,Touch Controls,Active,Oct 2022,,12.76,Oct 2022,0.00,71,6,Adventure,Exclusive,,M,"Intense Violence, Blood and Gore, Sexual Themes",
Dyson Sphere Program (Game Preview),PC,,Active,Oct 2022,,12.79,Jan 2021,1.73,,65,Strategy / Simulation,,,E,,
Coral Island (Game Preview),Xbox / PC,Yes,Active,Oct 2022,,12.85,Oct 2022,0.00,,23,Strategy / Adventure / Role-Playing / Simulation,Exclusive,Joins cloud and console 11/14/23,E10+,"Fantasy Violence, Alcohol Reference, Comic Mischief",
Costume Quest,Xbox,Yes,Active,Oct 2022,,12.85,Oct 2010,11.98,74,6,Role-Playing,,,E10+,"Fantasy Violence, Tobacco Reference",
Chivalry II,Xbox / PC,Yes,Active,Oct 2022,,13.08,Jun 2021,1.32,82,43,Action,,,M,"Use of Alcohol, Blood and Gore, Mild Sexual Themes, Language, Intense Violence",
PAW Patrol Grand Prix,Xbox / PC,Yes,Active,Sep 2022,,13.22,Sep 2022,0.00,70,1,,,,E,,
Let's Build A Zoo,Xbox / PC,Yes,Active,Sep 2022,,13.25,Nov 2021,0.90,78,36,Simulation,,,E10+,"Alcohol Reference, Comic Mischief, Mild Blood, Mild Violence",
Valheim (Game Preview),Xbox / PC,,Active,Sep 2022,,13.25,Feb 2021,1.65,,71,Action-Adventure,,Joined console 3/14/23,T,"Violence, Blood, Use of Alcohol, Crude Humor",
Slime Rancher 2 (Game Preview),Xbox / PC,Touch Controls,Active,Sep 2022,,13.48,Sep 2022,0.00,,9,Adventure / First-Person Shooter,Exclusive,,E10+,Fantasy Violence,
SpiderHeck,Xbox / PC,Touch Controls,Active,Sep 2022,,13.48,Sep 2022,0.00,83,9,,,,E10+,"Fantasy Violence, Mild Blood",
DEATHLOOP,Xbox / PC,Yes,Active,Sep 2022,,13.55,Sep 2021,1.02,89,16,Action / Strategy,Exclusive,,M,"Blood and Gore, Sexual Themes, Drug Reference, Strong Language, Intense Violence",PS5 time exclusive
Assassin's Creed: Odyssey,Xbox / PC,Touch Controls,Active,Sep 2022,,13.71,Oct 2018,3.96,87,45,Role-Playing / Action-Adventure,,Ubisoft Connect launcher,M,"Blood and Gore, Sexual Themes, Strong Language, Intense Violence",
Ni no Kuni: Wrath of the White Witch - Remastered,Xbox / PC,Touch Controls,Active,Sep 2022,,13.71,Sep 2019,2.99,82,45,Role-Playing / Action-Adventure,,,E10+,"Fantasy Violence, Mild Language, Simulated Gambling, Alcohol and Tobacco Reference",
You Suck at Parking,Xbox / PC,Touch Controls,Active,Sep 2022,,13.74,Sep 2022,0.00,77,9,Action / Driving/Racing,,,E,,
Ashes of the Singularity: Escalation,PC,,Active,Sep 2022,,13.78,Nov 2016,5.84,81,16,Real-Time Strategy,,,E10+,"Fantasy Violence, Language",
