name,metascore
PLARINET,tbd
GT Attack,tbd
DELTA (2014),tbd
Impossiball (2016),tbd
Dead or Alive 5 Ultimate: Character Nyotengu,tbd
Nandeyanen!? - The 1st Sutra,tbd
The Walking Dead: Season Two Episode 5 - No Going Back,78
Dark Souls II: Crown of the Old Iron King,79
Pinball FX 2: The Walking Dead,tbd
Madden NFL 15,81
Under Defeat,100
Santa Slay,tbd
Diablo III: Ultimate Evil Edition,90
Paintball Wars 2,tbd
Xenominer Swarm,tbd
G-Men,tbd
Risen 3: Titan Lords,92
Indiemon Thunder Region,tbd
Dead.Kings,tbd
Space Flowers,tbd
Sacred 3,80
Dozer's Gem Jam,tbd
Recall (2014),tbd
Kick-Ass 2,tbd
Bloodbath,tbd
Red Robot Revenge,tbd
AirMech Arena,85
Pinball FX 2: Guardians of the Galaxy,tbd
Monster Hunter Frontier G5,tbd
Might & Magic: Duel of Champions - Forgotten Wars,91
The Walking Dead: Season Two Episode 4 - Amid the Ruins,78
Teenage Mutant Ninja Turtles: Training Lair,tbd
Dark Souls II: Crown of the Sunken King,82
JewellCity,tbd
Punchys,tbd
Abyss Odyssey,100
Magic: Duels of the Planeswalkers 2015,79
Saints Row IV: National Treasure Edition,tbd
Battlefield 4: Dragon's Teeth,tbd
Amazing Princess Sarah,80
SuperCollider,tbd
The Wolf Among Us: Episode 5 - Cry Wolf,84
Controller Buster,tbd
TASSURUS 3012,tbd
The Party (2014),tbd
Le Tour de France 2013 - 100th Edition,85
Level Zero (2014),tbd
Fat Dragons,tbd
Halloween Scream 2,tbd
Guacamelee! Super Turbo Championship Edition,87
Sniper Elite III,82
Far Cry Compilation,tbd
Outpost Defender 1.0,tbd
Avatar Runner,tbd
Mashapocolypse,tbd
Fast Manicz,tbd
Valiant Hearts: The Great War,77
Evolution II:Fighting4Survival,tbd
Putty Squad,95
Transformers: Rise of the Dark Spark,96
GRID Autosport,75
Flappy Monkey,tbd
Tales From Space: Mutant Blobs Attack,86
Lazy Caverns 2,tbd
Dead or Alive 5 Ultimate: Character Phase 4,tbd
Payday 2: The Big Bank Heist,tbd
STRACO : Purge and Conquest,tbd
Blood of the Werewolf,75
Enemy Front,92
DreamWorks How to Train Your Dragon 2,96
Logan's Treasure,tbd
Tsurugi no Machi no Ihoujin: Shiro no Oukyuu,tbd
Ultra Street Fighter IV,84
Murdered: Soul Suspect,89
Call of Duty: Ghosts - Invasion,80
State of Decay: Lifeline,84
Magic Thighs & Slightly Phil,tbd
Avatar Fear,tbd
The Money Game (2014),tbd
Venus Explorer,tbd
Avatarzilla,tbd
The Wolf Among Us: Episode 4 - In Sheep's Clothing,75
Watch Dogs,80
Cave Shooting Collection Kan,tbd
Max: The Curse of Brotherhood,90
Wolfenstein: The New Order,79
Darksiders Collection,tbd
Croc's World,tbd
Flappy Worlds,tbd
Super Time Force,80
Servo Series I: Overclockers,tbd
The Walking Dead: Season Two Episode 3 - In Harm's Way,81
Parkza,tbd
Vector Madness ZOMBIES,tbd
Tapper (2014),tbd
Anim Puzzles,tbd
Bound by Flame,80
Peggle 2,77
Shutshimi,77
Flex,tbd
DEEP (2014),tbd
Gear Head,tbd
Child of Light,82
The Amazing Spider-Man 2,91
Star Wars Pinball: Heroes Within,80
The Undead Syndrome 2,tbd
DEM.S-Blue Partisan-,tbd
Crystaloid,tbd
Stop the Xoid!,tbd
Dustforce,79
Ga-Sen Love Plus Pengo!,tbd
Defense Technica,80
Skullgirls: Encore - Big Band,tbd
Legend of Max,tbd
Monster Hunter Frontier GG,tbd
Skullgirls: Encore,tbd
Skullgirls: Encore - Squigly,tbd
Warface,80
"Batman: Arkham Origins - Cold, Cold Heart",75
Warface,80
vikingfabian beta test,tbd
The Blaggers,tbd
2468,tbd
Merge-A-Monster,tbd
2048: Xbox 360 Edition,tbd
Bad Bunny,tbd
Trials Fusion,79
2014 FIFA World Cup Brazil,90
Borderlands 2: Headhunter Pack 5 - Sir Hammerlock vs. the Son of Crawmerax,tbd
Match-A-Monster,tbd
Battlefield 4: Naval Strike,80
Bitcoin Tycoon,tbd
Don Bradman Cricket 14,76
Battle for Demon City,tbd
R.B.I. Baseball 14,80
The Wolf Among Us: Episode 3 - A Crooked Mile,82
LEGO The Hobbit,90
Titanfall,86
Alpha Morph,tbd
Call of Duty: Ghosts - Devastation,80
CastleMiner Warfare,tbd
Mysterious Blue Valley,tbd
Batman: Arkham Origins Blackgate - Deluxe Edition,93
DrumMachine,tbd
Mysterious Blue Valley,tbd
Space Whip,tbd
Super Broken Games,tbd
Lifeguard (2014),tbd
IHF Handball Challenge 14,tbd
GLOBAL HAWK,tbd
Banana Bananza,tbd
Super Dungeon Quest,tbd
Triangular Castle,tbd
Blue Beacon,tbd
Castlevania: Lords of Shadow 2 - Revelations,76
Yu-Gi-Oh! Millennium Duels,tbd
BioShock Infinite: Burial at Sea - Episode Two,80
Dead or Alive 5 Ultimate: Character Marie Rose,tbd
Lunar Panda Deluxe,tbd
Cabela's Big Game Hunter: Pro Hunts,tbd
ApocZ,tbd
Crystal Defender (2014),tbd
YAIBA: NINJA GAIDEN Z,80
Metal Gear Solid V: Ground Zeroes,75
Skydive: Proximity Flight,77
Gears of War: Trilogy Pack (Platinum Collection),tbd
Flappy Feathers,tbd
FlappyAvatar,tbd
E.Y.E.R.I.S.,tbd
Constant C,80
Color 2,tbd
Dark Souls II,91
Flappy Wrecker,tbd
Flupp the Fish,tbd
The Walking Dead: Season Two Episode 2 - A House Divided,81
Battlefield 4: Second Assault,77
South Park: The Stick of Truth,85
Proxy Blade Zero,tbd
Quinbu,tbd
Avalis Dungeon 3,tbd
Vixenized,tbd
Midnight Bite,tbd
Claw Machine Arcade,tbd
Shiei no Sona-Nyl Refrain: What a Beautiful Memories,tbd
Failing Bird,tbd
Pac-Man Museum,80
Bot Stoppers,tbd
Shipwreck,tbd
Flapping Avatars,tbd
Castlevania: Lords of Shadow 2,90
Plants vs Zombies: Garden Warfare,76
Thief,90
Twin Tiger Shark,tbd
Far Cry: The Wild Expedition,tbd
El Chavo Kart,tbd
Rambo: The Video Game,90
Takedown: Red Sabre,92
Survivalist,tbd
Borderlands 2 / Dishonored,tbd
ZEN Pinball 2: Super League Football,tbd
Strider,77
NASCAR '14,75
The Elder Scrolls V: Skyrim / BioShock Infinite,tbd
Earth Defense Force 2025,91
Little Flappers,tbd
Decay: The Mare - Episode 2,tbd
7 Quests of the Hero,tbd
Avatar Dairansen,tbd
SKH-Resurrection,tbd
Blocks and Choppers,tbd
LocoCycle,82
Vector Madness,tbd
World of Tanks,80
Borderlands 2: Headhunter Pack 4 - Mad Moxxi and the Wedding Day Massacre,97
Lightning Returns: Final Fantasy XIII,90
Borderlands 2: Headhunter Pack 4 - Mad Moxxi and the Wedding Day Massacre,97
Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 2 Guild of Rogues,tbd
Kollosus Roar,tbd
The LEGO Movie Videogame,78
Vital Force,tbd
Bureau: Kendall Rising,tbd
The Wolf Among Us: Episode 2 - Smoke and Mirrors,76
Fable Anniversary,90
Halo: Spartan Assault,75
Rekoil,97
Dragon Ball Z: Battle of Z,80
Call of Duty: Ghosts - Onslaught,75
Tomb Raider: Game of the Year Edition,tbd
Unreal Land,tbd
Ten Thousand (2014),tbd
The Dead Rising Collection,tbd
DownGate Deathmatch,tbd
Little Rocket Girl,tbd
Warthog Wars,tbd
Zombie Mine Quest,tbd
Attack of the Zombie Horde 2,tbd
Assassin's Creed Liberation HD,88
EscapePod,tbd
Assassin's Creed IV: Black Flag - Illustrious Pirates Pack,tbd
Abduction Action! Plus,tbd
Cubicity!,tbd
TIME VIKING!!!!!ANDSPACERAPTOR,tbd
Solar Chaos,tbd
ZDQ II Ghost Dogs,tbd
Mummies Rising,tbd
Bumper Knights,tbd
Chicken Origami Invaders,tbd
Avatar Field Goal,tbd
DATABITS,tbd
Giant Hunter,tbd
Ostracized,tbd
Zombie Defense Squad,tbd
LCD Dungeon System XL,tbd
Reflection of a Fallen Feather,tbd
Noyd,tbd
Shooting Love. Collection,tbd
Zombie Hero,tbd
Snowfall,tbd
The Walking Dead: Season Two - A Telltale Games Series,80
Pinball FX 2: Marvel Pinball - Doctor Strange,tbd
The Walking Dead: Season Two Episode 1 - All That Remains,78
Steam and Metal,tbd
Titan Attacks!,80
Assassin's Creed IV: Black Flag - Freedom Cry,76
Freestyle Football Trials,tbd
Borderlands 2: Headhunter Pack 3 - How Marcus Saved Mercenary Day,tbd
