Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Genre (Giantbomb),ESRB
Return to Monkey Island,Xbox / PC,Yes,Active,Nov 2022,,11.93,Sep 2022,0.14,87,Adventure,E10+
Frog Detective: The Entire Mystery,Xbox / PC,Yes,Active,Oct 2022,,12.33,Oct 2022,0.00,77,Adventure / Compilation,E
Amnesia: Collection,Xbox / PC,Touch Controls,Active,Oct 2022,,12.56,Nov 2016,5.91,79,Adventure / Compilation,M
Amnesia: Rebirth,Xbox / PC,Touch Controls,Active,Oct 2022,,12.56,Oct 2020,2.00,80,Adventure,M
Phantom Abyss (Game Preview),Xbox / PC,Yes,Active,Oct 2022,,12.56,Jun 2021,1.33,,Puzzle / Platformer,E10+
SOMA,Xbox / PC,Touch Controls,Active,Oct 2022,,12.56,Sep 2015,7.08,83,Adventure,M
A Plague Tale: Requiem,Xbox / PC,Yes,Active,Oct 2022,,12.62,Oct 2022,0.00,85,Action-Adventure,M
Scorn,Xbox / PC,Touch Controls,Active,Oct 2022,,12.76,Oct 2022,0.00,71,Adventure,M
Dyson Sphere Program (Game Preview),PC,,Active,Oct 2022,,12.79,Jan 2021,1.73,,Strategy / Simulation,E
Coral Island (Game Preview),Xbox / PC,Yes,Active,Oct 2022,,12.85,Oct 2022,0.00,,Strategy / Adventure / Role-Playing / Simulation,E10+
Costume Quest,Xbox,Yes,Active,Oct 2022,,12.85,Oct 2010,11.98,74,Role-Playing,E10+
Chivalry II,Xbox / PC,Yes,Active,Oct 2022,,13.08,Jun 2021,1.32,82,Action,M
PAW Patrol Grand Prix,Xbox / PC,Yes,Active,Sep 2022,,13.22,Sep 2022,0.00,70,,E
Let's Build A Zoo,Xbox / PC,Yes,Active,Sep 2022,,13.25,Nov 2021,0.90,78,Simulation,E10+
Valheim (Game Preview),Xbox / PC,,Active,Sep 2022,,13.25,Feb 2021,1.65,,Action-Adventure,T
Slime Rancher 2 (Game Preview),Xbox / PC,Touch Controls,Active,Sep 2022,,13.48,Sep 2022,0.00,,Adventure / First-Person Shooter,E10+
SpiderHeck,Xbox / PC,Touch Controls,Active,Sep 2022,,13.48,Sep 2022,0.00,83,,E10+
